-11.6375212,166.9529789,94049645,0.32,21.3,122,93,208,4.6,,
-11.6375723,166.9530544,94049646,0.33,22.2,122,94,207,4.2,,
-11.6376204,166.9531321,94049647,0.33,23.0,122,94,146,4.0,,
-11.6376653,166.9532141,94049648,0.34,23.9,122,95,146,3.6,,
-11.6377081,166.9533055,94049649,0.35,24.0,122,96,127,3.2,,
-11.6377418,166.9533971,94049650,0.35,24.6,122,96,127,3.0,,
-11.6377663,166.9534934,94049651,0.36,25.1,123,97,106,2.6,,
-11.6377776,166.9535988,94049652,0.37,25.4,123,97,123,2.2,,
-11.6377694,166.9537012,94049653,0.37,25.6,123,97,126,2.2,,
-11.6377411,166.9538055,94049654,0.38,25.8,124,97,130,2.0,,
-11.6377027,166.9538991,94049655,0.39,24.6,126,96,99,1.8,,
-11.6376595,166.9539858,94049656,0.39,23.4,127,95,104,1.8,,
-11.6376113,166.9540690,94049657,0.40,23.3,128,95,101,1.8,,
-11.6375611,166.9541462,94049658,0.41,23.2,129,95,101,1.8,,
-11.6375068,166.9542217,94049659,0.41,23.1,129,95,120,1.8,,
-11.6374491,166.9542979,94049660,0.42,22.9,130,94,109,1.8,,
-11.6373920,166.9543671,94049661,0.43,22.7,130,94,123,1.8,,
-11.6373322,166.9544338,94049662,0.43,22.3,130,94,114,2.0,,
-11.6372705,166.9545020,94049663,0.44,22.0,131,94,124,2.0,,
-11.6372100,166.9545627,94049664,0.45,21.7,131,93,132,2.2,,
-11.6371438,166.9546186,94049665,0.45,21.5,131,93,132,2.2,,
-11.6370760,166.9546704,94049666,0.46,21.3,131,93,125,2.4,,
-11.6370038,166.9547221,94049667,0.46,21.1,131,93,124,2.4,,
-11.6369344,166.9547686,94049668,0.47,20.8,131,92,124,2.6,,
-11.6368621,166.9548165,94049669,0.47,20.5,130,92,123,2.8,,
-11.6367951,166.9548612,94049670,0.48,20.2,130,92,108,2.8,,
-11.6367291,166.9549071,94049671,0.49,19.9,130,91,166,3.0,,
-11.6366635,166.9549575,94049672,0.49,19.7,130,91,166,3.0,,
-11.6366085,166.9550126,94049673,0.50,19.5,130,91,130,3.2,,
-11.6365720,166.9550801,94049674,0.50,19.1,130,91,130,3.4,,
-11.6365494,166.9551546,94049675,0.51,18.6,130,90,112,3.6,,
